season,round,lapNumber,driverId,position,time
1996,1,23,hakkinen,4,1:36.945
1996,1,23,barrichello,5,1:36.880
1996,1,23,berger,6,1:36.940
1996,1,23,irvine,7,1:39.750
1996,1,23,katayama,8,1:37.254
1996,1,23,panis,9,1:35.760
1996,1,23,salo,10,1:36.077
1996,1,23,frentzen,11,1:41.482
1996,1,23,coulthard,12,1:37.928
1996,1,23,rosset,13,1:39.001
1996,1,23,diniz,14,1:38.538
1996,1,23,fisichella,15,1:39.026
1996,1,23,lamy,16,1:39.428
1996,1,24,villeneuve,1,1:35.222
1996,1,24,damon_hill,2,1:35.427
1996,1,24,michael_schumacher,3,1:34.996
1996,1,24,hakkinen,4,1:36.426
1996,1,24,barrichello,5,1:36.458
1996,1,24,irvine,6,1:35.971
1996,1,24,berger,7,1:59.470
1996,1,24,katayama,8,1:36.499
1996,1,24,panis,9,1:35.563
1996,1,24,salo,10,1:35.985
1996,1,24,frentzen,11,1:37.230
1996,1,24,coulthard,12,1:37.862
1996,1,24,rosset,13,1:38.219
1996,1,24,diniz,14,1:37.024
1996,1,24,fisichella,15,1:39.305
1996,1,24,lamy,16,1:39.572
1996,1,25,villeneuve,1,1:33.955
1996,1,25,damon_hill,2,1:33.803
1996,1,25,michael_schumacher,3,1:34.408
1996,1,25,hakkinen,4,1:36.190
1996,1,25,irvine,5,1:35.884
1996,1,25,barrichello,6,2:03.021
1996,1,25,berger,7,1:40.481
1996,1,25,katayama,8,1:39.113
1996,1,25,panis,9,1:35.674
1996,1,25,salo,10,1:35.800
1996,1,25,frentzen,11,1:37.594
1996,1,25,rosset,12,1:37.170
1996,1,25,diniz,13,1:37.590
1996,1,25,fisichella,14,1:39.404
1996,1,25,lamy,15,1:42.280
1996,1,26,villeneuve,1,1:33.633
1996,1,26,damon_hill,2,1:34.020
1996,1,26,michael_schumacher,3,1:34.081
1996,1,26,hakkinen,4,1:36.058
1996,1,26,irvine,5,1:35.729
1996,1,26,berger,6,1:34.757
1996,1,26,barrichello,7,1:39.756
1996,1,26,panis,8,1:39.082
1996,1,26,katayama,9,1:40.206
1996,1,26,salo,10,1:35.960
1996,1,26,frentzen,11,1:37.536
1996,1,26,rosset,12,1:37.186
1996,1,26,diniz,13,1:37.180
1996,1,26,fisichella,14,1:39.646
1996,1,26,lamy,15,1:41.370
1996,1,27,villeneuve,1,1:33.421
1996,1,27,damon_hill,2,1:33.621
1996,1,27,michael_schumacher,3,1:36.842
1996,1,27,hakkinen,4,1:35.885
1996,1,27,irvine,5,1:36.087
1996,1,27,berger,6,1:35.382
1996,1,27,barrichello,7,1:35.064
1996,1,27,panis,8,1:36.594
1996,1,27,salo,9,1:37.273
1996,1,27,frentzen,10,1:37.036
1996,1,27,rosset,11,1:38.111
1996,1,27,katayama,12,2:13.267
1996,1,27,diniz,13,1:37.349
1996,1,27,fisichella,14,1:39.380
1996,1,27,lamy,15,1:39.437
1996,1,28,villeneuve,1,1:33.854
1996,1,28,damon_hill,2,1:33.784
1996,1,28,michael_schumacher,3,1:36.526
1996,1,28,hakkinen,4,1:36.387
1996,1,28,irvine,5,1:36.549
1996,1,28,berger,6,1:37.026
1996,1,28,barrichello,7,1:35.646
1996,1,28,panis,8,1:36.651
1996,1,28,salo,9,1:39.052
1996,1,28,frentzen,10,1:36.918
1996,1,28,katayama,11,1:43.683
1996,1,28,diniz,12,1:37.824
1996,1,28,rosset,13,2:11.015
1996,1,28,fisichella,14,1:40.680
1996,1,28,lamy,15,1:39.397
1996,1,29,villeneuve,1,1:34.793
1996,1,29,damon_hill,2,1:34.491
1996,1,29,michael_schumacher,3,1:38.304
1996,1,29,hakkinen,4,1:35.964
1996,1,29,irvine,5,1:35.538
1996,1,29,berger,6,1:35.897
1996,1,29,barrichello,7,1:36.611
1996,1,29,panis,8,1:35.689
1996,1,29,salo,9,1:36.335
1996,1,29,frentzen,10,1:37.003
1996,1,29,katayama,11,1:42.528
1996,1,29,diniz,12,1:37.862
1996,1,29,rosset,13,1:45.276
1996,1,29,fisichella,14,1:40.684
1996,1,29,lamy,15,1:42.604
1996,1,30,damon_hill,1,1:34.364
1996,1,30,villeneuve,2,2:07.341
1996,1,30,michael_schumacher,3,1:39.485
1996,1,30,irvine,4,1:35.364
1996,1,30,berger,5,1:35.677
1996,1,30,hakkinen,6,2:06.391
1996,1,30,panis,7,1:36.042
1996,1,30,salo,8,1:36.295
1996,1,30,frentzen,9,1:37.312
1996,1,30,katayama,10,1:41.186
1996,1,30,diniz,11,1:38.939
1996,1,30,rosset,12,1:39.696
1996,1,30,fisichella,13,1:41.807
1996,1,30,lamy,14,2:13.584
1996,1,31,damon_hill,1,1:33.678
1996,1,31,villeneuve,2,1:39.977
1996,1,31,michael_schumacher,3,1:39.354
1996,1,31,irvine,4,1:35.629
1996,1,31,berger,5,1:35.124
1996,1,31,hakkinen,6,1:42.337
1996,1,31,salo,7,1:36.042
1996,1,31,frentzen,8,1:36.521
1996,1,31,panis,9,2:08.411
1996,1,31,katayama,10,1:39.247
1996,1,31,diniz,11,1:37.237
1996,1,31,rosset,12,1:39.360
1996,1,31,fisichella,13,1:40.237
1996,1,31,lamy,14,1:47.810
1996,1,32,damon_hill,1,2:09.739
1996,1,32,villeneuve,2,1:34.597
1996,1,32,irvine,3,1:36.504
1996,1,32,berger,4,1:35.208
1996,1,32,hakkinen,5,1:37.261
1996,1,32,salo,6,1:36.295
1996,1,32,frentzen,7,1:36.545
1996,1,32,panis,8,1:41.077
1996,1,32,michael_schumacher,9,3:02.162
1996,1,32,katayama,10,1:38.060
1996,1,32,rosset,11,1:40.435
1996,1,32,diniz,12,2:08.622
1996,1,32,fisichella,13,1:41.584
1996,1,32,lamy,14,1:40.380
1996,1,33,villeneuve,1,1:35.887
1996,1,33,damon_hill,2,1:40.120
1996,1,33,irvine,3,1:36.360
1996,1,33,berger,4,1:36.263
1996,1,33,hakkinen,5,1:37.599
1996,1,33,salo,6,1:35.813
1996,1,33,frentzen,7,1:36.484
1996,1,33,panis,8,1:37.722
1996,1,33,katayama,9,1:38.238
1996,1,33,rosset,10,1:40.527
1996,1,33,diniz,11,1:45.982
1996,1,33,lamy,12,2:31.498
1996,1,34,villeneuve,1,1:37.599
1996,1,34,damon_hill,2,1:37.126
1996,1,34,irvine,3,1:35.888
1996,1,34,berger,4,1:35.366
1996,1,34,hakkinen,5,1:38.173
1996,1,34,salo,6,1:36.124
1996,1,34,frentzen,7,1:36.254
1996,1,34,panis,8,1:37.236
1996,1,34,katayama,9,1:39.817
1996,1,34,rosset,10,1:39.655
1996,1,34,diniz,11,1:38.753
1996,1,34,lamy,12,1:46.151
1996,1,35,villeneuve,1,1:38.922
1996,1,35,damon_hill,2,1:38.887
1996,1,35,irvine,3,1:36.604
1996,1,35,berger,4,1:35.382
1996,1,35,hakkinen,5,1:37.988
1996,1,35,frentzen,6,1:36.075
1996,1,35,salo,7,2:02.556
1996,1,35,panis,8,1:36.994
1996,1,35,katayama,9,1:38.306
1996,1,35,rosset,10,1:38.847
1996,1,35,diniz,11,1:37.999
1996,1,35,lamy,12,1:39.344
1996,1,36,villeneuve,1,1:35.695
1996,1,36,damon_hill,2,1:35.965
1996,1,36,irvine,3,1:35.000
1996,1,36,berger,4,1:35.107
1996,1,36,hakkinen,5,1:37.429
1996,1,36,frentzen,6,1:35.867
1996,1,36,salo,7,1:39.896
1996,1,36,panis,8,1:39.543
1996,1,36,katayama,9,1:37.476
1996,1,36,rosset,10,1:39.119
1996,1,36,diniz,11,1:37.563
1996,1,36,lamy,12,1:39.610
1996,1,37,villeneuve,1,1:36.319
1996,1,37,damon_hill,2,1:36.308
1996,1,37,irvine,3,1:34.533
1996,1,37,berger,4,1:35.671
1996,1,37,hakkinen,5,1:37.315
1996,1,37,frentzen,6,1:35.743
1996,1,37,salo,7,1:35.557
1996,1,37,panis,8,1:38.140
1996,1,37,katayama,9,1:37.532
1996,1,37,rosset,10,1:38.712
1996,1,37,diniz,11,1:37.394
1996,1,37,lamy,12,3:34.469
1996,1,38,villeneuve,1,1:35.376
1996,1,38,damon_hill,2,1:35.210
1996,1,38,irvine,3,1:34.884
1996,1,38,berger,4,1:34.823
1996,1,38,hakkinen,5,1:37.537
1996,1,38,frentzen,6,1:35.848
1996,1,38,salo,7,1:35.487
1996,1,38,panis,8,1:36.597
1996,1,38,katayama,9,1:36.858
1996,1,38,rosset,10,1:37.579
1996,1,38,diniz,11,1:37.697
1996,1,38,lamy,12,1:49.082
1996,1,39,villeneuve,1,1:34.921
1996,1,39,damon_hill,2,1:34.981
1996,1,39,irvine,3,1:34.648
1996,1,39,berger,4,1:35.331
1996,1,39,hakkinen,5,1:37.779
1996,1,39,salo,6,1:35.280
1996,1,39,panis,7,1:36.136
1996,1,39,frentzen,8,2:02.382
1996,1,39,katayama,9,1:37.060
1996,1,39,rosset,10,1:37.952
1996,1,39,diniz,11,1:37.788
1996,1,39,lamy,12,1:44.277
1996,1,40,villeneuve,1,1:34.735
1996,1,40,damon_hill,2,1:35.000
1996,1,40,irvine,3,1:34.727
1996,1,40,berger,4,1:35.173
1996,1,40,hakkinen,5,1:37.178
1996,1,40,salo,6,1:35.569
1996,1,40,panis,7,1:36.625
1996,1,40,frentzen,8,1:41.406
1996,1,40,katayama,9,1:37.028
1996,1,40,rosset,10,1:37.697
1996,1,40,diniz,11,1:37.778
1996,1,40,lamy,12,1:40.711
1996,1,41,villeneuve,1,1:34.963
1996,1,41,damon_hill,2,1:34.946
1996,1,41,irvine,3,1:34.701
1996,1,41,berger,4,1:58.799
1996,1,41,hakkinen,5,1:37.614
1996,1,41,salo,6,1:35.485
1996,1,41,panis,7,1:36.265
1996,1,41,frentzen,8,1:35.841
1996,1,41,katayama,9,1:37.333
1996,1,41,rosset,10,1:37.905
1996,1,41,diniz,11,1:37.549
1996,1,41,lamy,12,1:42.032
1996,1,42,villeneuve,1,1:34.757
1996,1,42,damon_hill,2,1:34.480
1996,1,42,irvine,3,2:00.000
1996,1,42,berger,4,1:40.853
1996,1,42,hakkinen,5,1:37.187
1996,1,42,salo,6,1:35.592
1996,1,42,panis,7,1:35.662
1996,1,42,frentzen,8,1:35.661
1996,1,42,katayama,9,1:37.431
1996,1,42,rosset,10,1:37.853
1996,1,42,diniz,11,1:37.785
1996,1,42,lamy,12,1:40.304
1996,1,43,villeneuve,1,1:34.353
1996,1,43,damon_hill,2,1:34.733
1996,1,43,irvine,3,1:40.628
1996,1,43,berger,4,1:35.521
1996,1,43,hakkinen,5,1:37.270
1996,1,43,salo,6,1:36.226
1996,1,43,panis,7,1:36.019
1996,1,43,frentzen,8,1:35.596
1996,1,43,katayama,9,1:36.471
1996,1,43,rosset,10,1:37.328
1996,1,43,diniz,11,1:37.677
1996,1,44,villeneuve,1,1:36.080
1996,1,44,damon_hill,2,1:35.639
1996,1,44,irvine,3,1:35.754
1996,1,44,berger,4,1:35.423
1996,1,44,hakkinen,5,1:36.848
1996,1,44,salo,6,1:38.332
1996,1,44,panis,7,1:35.935
1996,1,44,frentzen,8,1:35.688
1996,1,44,katayama,9,1:36.377
1996,1,44,rosset,10,1:37.080
1996,1,44,diniz,11,1:38.312
1996,1,45,villeneuve,1,1:35.457
1996,1,45,damon_hill,2,1:35.910
1996,1,45,irvine,3,1:35.264
1996,1,45,berger,4,1:35.050
1996,1,45,hakkinen,5,1:36.619
1996,1,45,salo,6,1:35.865
1996,1,45,panis,7,1:37.816
1996,1,45,frentzen,8,1:35.777
1996,1,45,katayama,9,1:37.941
1996,1,45,rosset,10,1:36.557
1996,1,45,diniz,11,1:39.133
1996,1,46,villeneuve,1,1:34.586
1996,1,46,damon_hill,2,1:34.905
1996,1,46,irvine,3,1:35.808
1996,1,46,berger,4,1:35.302
1996,1,46,hakkinen,5,1:36.629
1996,1,46,salo,6,1:35.896
1996,1,46,panis,7,1:36.543
1996,1,46,frentzen,8,1:36.678
1996,1,46,katayama,9,1:40.023
1996,1,46,rosset,10,1:37.168
1996,1,46,diniz,11,1:43.831
1996,1,47,villeneuve,1,1:35.193
1996,1,47,damon_hill,2,1:34.665
1996,1,47,irvine,3,1:36.203
1996,1,47,berger,4,1:36.201
1996,1,47,hakkinen,5,1:36.243
1996,1,47,salo,6,1:36.676
1996,1,47,panis,7,1:36.137
1996,1,47,frentzen,8,1:36.269
1996,1,47,katayama,9,1:40.909
1996,1,47,rosset,10,1:40.579
1996,1,47,diniz,11,1:38.378
1996,1,48,villeneuve,1,1:36.117
1996,1,48,damon_hill,2,1:36.677
1996,1,48,irvine,3,1:37.005
1996,1,48,berger,4,1:36.160
1996,1,48,hakkinen,5,1:36.427
1996,1,48,salo,6,1:36.391
1996,1,48,panis,7,1:36.191
1996,1,48,frentzen,8,1:36.112
1996,1,48,katayama,9,1:41.103
1996,1,48,rosset,10,1:38.281
